,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
46634,2007,Box Score,Chicago Bulls,109,Denver Nuggets,113,0
46635,2007,Box Score,Milwaukee Bucks,88,Indiana Pacers,93,0
46636,2007,Box Score,Los Angeles Clippers,101,Los Angeles Lakers,105,0
46637,2007,Box Score,Miami Heat,86,New Orleans/Oklahoma City Hornets,101,0
46638,2007,Box Score,Detroit Pistons,97,Philadelphia 76ers,87,0
46639,2007,Box Score,Boston Celtics,83,Charlotte Bobcats,92,0
46640,2007,Box Score,Atlanta Hawks,98,Detroit Pistons,103,0
46641,2007,Box Score,Denver Nuggets,115,Golden State Warriors,112,0
46642,2007,Box Score,Washington Wizards,82,Houston Rockets,86,0
46643,2007,Box Score,Seattle SuperSonics,95,Los Angeles Clippers,85,0
46644,2007,Box Score,Philadelphia 76ers,94,Milwaukee Bucks,98,0
46645,2007,Box Score,New York Knicks,89,Minnesota Timberwolves,107,0
46646,2007,Box Score,Indiana Pacers,91,Orlando Magic,96,0
46647,2007,Box Score,New Orleans/Oklahoma City Hornets,83,Phoenix Suns,92,0
46648,2007,Box Score,New Jersey Nets,97,Portland Trail Blazers,100,0
46649,2007,Box Score,Utah Jazz,110,Sacramento Kings,101,0
46650,2007,Box Score,Miami Heat,86,San Antonio Spurs,106,0
46651,2007,Box Score,Cleveland Cavaliers,87,Toronto Raptors,95,0
46652,2007,Box Score,Toronto Raptors,93,Atlanta Hawks,97,0
46653,2007,Box Score,New York Knicks,101,Boston Celtics,77,0
46654,2007,Box Score,Golden State Warriors,129,Denver Nuggets,140,0
46655,2007,Box Score,Charlotte Bobcats,95,Detroit Pistons,104,0
46656,2007,Box Score,Cleveland Cavaliers,87,Indiana Pacers,97,0
46657,2007,Box Score,Washington Wizards,80,Memphis Grizzlies,95,0
46658,2007,Box Score,Orlando Magic,107,Miami Heat,104,0
46659,2007,Box Score,Minnesota Timberwolves,86,New Orleans/Oklahoma City Hornets,79,0
46660,2007,Box Score,Chicago Bulls,108,Philadelphia 76ers,123,0
46661,2007,Box Score,New Jersey Nets,93,Phoenix Suns,99,0
46662,2007,Box Score,Dallas Mavericks,95,San Antonio Spurs,92,0
